10percentage,12percentage,CollegeTier,Degree,Specialization,collegeGPA,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
91.0,90.91,2,B.Tech/B.E.,ECE,83.2,565,515,575,0.229481754911755,325,266,-1,-1,-1,-1,-1,0.6646,1.1248,1.5428,-0.4078,0.3444,650000
89.44,75.33,2,B.Tech/B.E.,CS/IT,68.69,500,425,385,0.704090412131314,465,-1,-1,-1,-1,-1,-1,0.8463,0.0459,1.7007,-0.4879,0.0973,400000
76.0,64.0,2,B.Tech/B.E.,CS/IT,67.0,555,450,470,0.486747008438193,465,-1,376,-1,-1,-1,-1,-1.1644,1.2114,0.4711,-0.1076,-0.6692,510000
77.0,75.0,2,B.Tech/B.E.,mechanical engineering,65.42,425,415,375,0.0684457505037512,-1,-1,-1,254,-1,-1,-1,1.4374,1.1248,1.2525,0.53233,0.4234,400000
63.0,74.0,2,B.Tech/B.E.,information science engineering,57.0,545,500,455,0.600057182338341,435,-1,-1,-1,-1,-1,-1,-1.4517,-2.1186,-0.6048,0.9066,-1.6273,440000
90.33,88.6,2,B.Tech/B.E.,CS/IT,69.55,725,505,415,0.704090412131314,465,-1,-1,-1,-1,-1,-1,0.51,1.4368,-0.0537,-1.34787,0.8973,500000
76.5,84.0,2,B.Tech/B.E.,mechanical engineering,87.2,380,440,385,0.414337426422751,-1,-1,-1,366,-1,-1,-1,-0.3027,-0.2871,0.01,0.0192,-0.6692,275000
70.0,60.0,2,B.Tech/B.E.,CS/IT,64.3,645,465,575,0.525922584252055,415,-1,-1,-1,-1,-1,-1,-0.4173,-1.8393,-0.344,1.1199,0.1864,530000
78.0,87.1,2,B.Tech/B.E.,CS/IT,65.0,430,570,615,0.744758354008939,525,-1,438,-1,-1,-1,-1,-1.308,-1.1196,0.4711,0.0192,0.6721,340000
89.5,73.4,2,B.Tech/B.E.,CS/IT,70.06,700,505,585,0.486747008438193,485,-1,376,-1,-1,-1,-1,0.2718,0.0459,-1.0659,-2.136,-1.244,520000
56.4,72.0,2,B.Tech/B.E.,mechanical engineering,64.0,305,395,455,0.654107474545933,165,-1,-1,420,-1,-1,-1,0.2009,-0.9033,0.3817,0.2973,0.3444,1410000
88.67,87.69,1,B.Tech/B.E.,Others,79.65,545,645,735,0.879915203272648,-1,-1,-1,-1,-1,-1,-1,-0.7335,1.5444,-0.1437,-2.136,0.6721,900000
58.33,73.33,2,B.Tech/B.E.,CS/IT,71.97,395,325,585,0.744758354008939,395,-1,438,-1,-1,-1,-1,0.8192,0.5008,0.2366,-0.05527,0.6603,320000
64.0,66.0,2,B.Tech/B.E.,CS/IT,69.2,465,390,355,0.356536487724475,355,-1,346,-1,-1,-1,-1,-0.0154,-0.2871,0.3174,0.1459,0.0973,400000
85.92,79.87,2,B.Tech/B.E.,CS/IT,71.07,495,565,454,0.968237495890543,605,-1,-1,-1,-1,-1,-1,0.0464,-0.1232,-0.4891,0.2973,0.9763,515000
88.8,84.67,2,B.Tech/B.E.,EE,70.0,675,605,620,0.985461394326131,515,500,-1,-1,-1,-1,-1,-0.0154,1.0449,0.4711,1.0333,1.0554,505000
73.8,75.4,2,B.Tech/B.E.,ECE,68.56,405,485,680,0.376059586651545,365,300,-1,-1,-1,-1,-1,-2.272,0.0328,-0.2714,1.1199,-0.4455,535000
71.0,58.0,2,B.Tech/B.E.,ECE,70.1,525,465,645,0.538386892985096,385,333,-1,-1,-1,260,-1,-1.9629,0.8128,0.2366,0.6498,0.0284,610000
81.4,74.0,1,B.Tech/B.E.,CS/IT,76.24,485,525,620,0.953899775079926,535,-1,530,-1,-1,-1,-1,0.5591,0.5454,1.7007,-2.0092,1.247,400000
88.1,91.1,2,B.Tech/B.E.,ECE,68.2,535,435,500,0.207392169717661,305,260,-1,-1,-1,-1,-1,-0.159,0.8784,0.4711,0.2727,0.6721,515000
76.0,72.0,2,B.Tech/B.E.,CS/IT,63.2,510,355,340,0.123016731640823,285,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,0.4711,0.2727,-0.4776,320000
82.3,96.6,2,B.Tech/B.E.,ECE,83.0,445,565,615,0.694479327708463,-1,366,-1,-1,-1,-1,-1,1.1283,1.1248,-0.344,-0.407769999999999,0.8973,510000
78.0,68.0,1,B.Tech/B.E.,EE,72.3,510,590,510,0.783303536670298,395,388,-1,-1,-1,-1,-1,0.8463,-0.4536,0.3174,-0.995,0.0973,575000
66.7,54.2,2,B.Tech/B.E.,Others,66.93,430,470,500,0.299597296248525,-1,260,-1,-1,-1,-1,-1,0.2718,0.3789,0.4711,-0.2344,0.4805,440000
72.0,60.0,2,B.Tech/B.E.,CS/IT,63.0,440,300,285,-1.0,-1,-1,-1,-1,-1,-1,-1,1.8517,0.8784,1.547,-0.2344,0.4805,495000
82.0,62.3,2,B.Tech/B.E.,mechanical engineering,61.0,565,475,464,0.0684457505037512,-1,-1,-1,254,-1,-1,-1,-1.4992,-1.2153,-0.9245,-0.5253,-1.8278,560000
58.56,73.0,2,B.Tech/B.E.,ECE,61.8,445,465,565,0.376059586651545,375,300,-1,-1,-1,-1,-1,0.3555,0.6568,0.9623,0.6498,0.5024,460000
58.0,62.0,2,B.Tech/B.E.,CS/IT,70.68,405,395,390,0.486747008438193,495,-1,376,-1,-1,-1,-1,-0.7335,-0.1206,0.7785,0.653,0.0973,380000
77.0,78.0,2,B.Tech/B.E.,CS/IT,75.03,500,545,665,0.842248322257836,485,-1,469,-1,-1,-1,-1,-1.4517,-0.6201,-1.8344,-0.1076,0.6721,300000
75.6,83.2,2,B.Tech/B.E.,CS/IT,71.1,475,460,530,0.744758354008939,405,-1,438,-1,-1,-1,-1,1.2772,1.5444,1.8543,1.0333,1.247,360000
75.0,61.7,2,MCA,CS/IT,79.0,365,365,425,0.377551419424541,375,-1,-1,-1,-1,-1,-1,-0.4173,-0.1232,-0.0537,-0.4078,-0.1295,510000
74.0,66.8,2,B.Tech/B.E.,ECE,68.9,535,505,510,0.338786347219528,-1,292,-1,-1,-1,-1,-1,-0.5899,-2.2851,-0.7585,0.0192,-2.5853,280000
92.2,75.6,2,B.Tech/B.E.,CS/IT,81.5,685,565,645,0.953899775079926,595,-1,530,-1,-1,-1,-1,1.4208,1.2114,0.3174,-1.5021,0.2889,525000
84.5,94.1,2,B.Tech/B.E.,CS/IT,70.95,485,445,575,0.413838255788123,385,-1,-1,-1,-1,-1,-1,-0.4173,0.1888,0.5269,-1.1422,0.0284,600000
89.4,75.6,2,B.Tech/B.E.,mechanical engineering,82.53,590,610,635,0.840840968763718,-1,-1,-1,473,-1,-1,-1,0.8463,0.0459,0.7785,-1.8824,0.4805,675000
76.2,88.0,2,B.Tech/B.E.,CS/IT,69.8,450,510,620,0.744758354008939,315,-1,438,-1,-1,-1,-1,1.4208,-0.1206,0.4711,-1.3753,1.6302,380000
85.33,78.2,2,B.Tech/B.E.,ECE,77.25,605,404,454,0.824666400671332,-1,400,407,-1,-1,-1,-1,1.0896,1.5928,0.672,-1.05407,0.1864,450000
72.0,64.0,2,MCA,CS/IT,72.0,490,410,485,0.450876584483451,395,-1,-1,-1,-1,-1,-1,1.1336,0.3789,-0.1437,-0.8682,-0.4776,350000
45.6,73.6,2,MCA,CS/IT,85.2,365,385,454,0.765673581234011,485,-1,-1,-1,-1,-1,-1,0.6646,0.3448,-1.0697,0.2973,-0.9194,300000
86.5,82.5,2,B.Tech/B.E.,CS/IT,61.86,490,395,485,0.911395278391328,425,-1,500,-1,-1,-1,-1,-0.0154,-0.6201,-0.2974,0.7798,-1.8189,500000
75.83,68.83,2,B.Tech/B.E.,CS/IT,55.6,525,575,655,0.901489571371033,545,-1,-1,-1,-1,-1,-1,-2.8903,1.2808,0.8171,-0.8778,0.3444,665000
69.4,63.0,2,B.Tech/B.E.,ECE,61.0,375,465,265,0.0233121682429863,-1,166,-1,-1,-1,260,-1,-1.1901,0.1888,-1.5051,-1.34787,-0.7615,400000
64.0,61.0,2,B.Tech/B.E.,Others,63.0,455,505,465,0.884122511593735,535,-1,-1,-1,-1,-1,-1,-1.7389,-1.2861,-1.3733,-0.6147,-0.4776,560000
85.0,73.8,2,B.Tech/B.E.,ECE,77.0,505,485,615,0.824666400671332,405,400,-1,-1,-1,-1,-1,-0.5719,-1.0593,-0.1988,1.1199,1.1343,600000
85.6,90.6,2,B.Tech/B.E.,ECE,68.4,395,425,575,0.229481754911755,435,266,-1,-1,-1,-1,-1,0.8192,0.5008,0.3817,-0.0552,-0.2875,920000
80.6,91.0,2,B.Tech/B.E.,CS/IT,73.06,485,505,375,0.635978756456794,445,-1,-1,-1,-1,-1,-1,0.51,1.7488,0.2366,-1.2303,0.9763,705000
78.0,68.0,2,B.Tech/B.E.,CS/IT,68.0,365,515,645,0.979521744319216,625,-1,-1,-1,-1,-1,-1,-0.880999999999999,0.5008,0.9623,-0.7603,-0.1295,580000
69.0,72.2,2,B.Tech/B.E.,CS/IT,69.78,370,500,455,0.704090412131314,465,-1,-1,-1,-1,-1,-1,0.5591,0.2124,-0.4511,-1.3753,0.6721,575000
89.56,85.0,2,B.Tech/B.E.,ECE,67.45,485,315,545,0.694479327708463,345,366,-1,-1,-1,-1,-1,-3.0448,-1.0593,-0.6343,0.7673,0.1864,490000
83.2,72.3,2,B.Tech/B.E.,CS/IT,68.0,545,620,515,0.960903087163164,595,-1,-1,-1,-1,-1,-1,0.4155,1.0449,1.3933,-0.4879,-0.0943,550000
51.0,48.0,2,MCA,CS/IT,59.0,275,365,395,0.525922584252055,415,-1,-1,-1,-1,-1,-1,0.2009,-0.2793,0.2366,1.4724,0.0284,300000
60.7,65.66,2,MCA,CS/IT,77.7,545,535,470,-1.0,-1,-1,-1,-1,-1,-1,-1,0.1282,1.0449,-0.2974,-0.995,0.4805,430000
76.0,75.0,2,B.Tech/B.E.,CS/IT,65.48,375,535,575,0.600057182338341,435,-1,-1,-1,-1,-1,-1,0.6646,-0.1232,1.5428,0.0623,0.3444,515000
91.0,91.2,2,B.Tech/B.E.,ECE,86.0,675,655,585,0.783303536670298,485,388,-1,-1,-1,-1,-1,0.8463,0.8784,-0.1437,-0.7415,-1.0524,815000
90.6,79.3,2,B.Tech/B.E.,CS/IT,65.7,430,350,475,0.622642915849938,515,-1,407,-1,-1,-1,-1,1.4208,1.2114,1.2396,-1.1218,1.247,400000
63.0,62.0,2,B.Tech/B.E.,CS/IT,62.44,380,510,515,0.635978756456794,445,-1,-1,-1,-1,-1,-1,-1.4517,-1.2861,-0.1437,1.1601,-1.4356,380000
63.0,63.0,2,B.Tech/B.E.,mechanical engineering,63.0,300,435,390,0.0329370177076901,-1,-1,-1,223,-1,-1,-1,1.8517,-0.2871,1.0859,1.6672,-0.2859,460000
75.4,68.2,2,B.Tech/B.E.,CS/IT,80.0,555,535,655,0.916869961103619,555,-1,-1,-1,-1,-1,-1,1.2828,1.1248,-0.6343,-1.3478,1.1343,1310000
81.8,71.8,2,B.Tech/B.E.,EE,64.5,415,525,625,0.824666400671332,-1,400,-1,-1,-1,366,-1,-1.8083,-0.2793,-0.6343,0.0623,-0.1295,370000
75.85,77.2,2,B.Tech/B.E.,CS/IT,80.0,525,530,520,0.979521744319216,625,-1,-1,-1,-1,-1,-1,-0.159,0.8784,1.0859,-0.995,1.0554,380000
91.6,85.6,1,B.Tech/B.E.,ECE,72.7,590,575,635,0.649389714846691,525,356,-1,-1,-1,-1,-1,1.1336,0.5454,0.01,-2.0092,0.8637,540000
66.0,55.0,2,B.Tech/B.E.,CS/IT,66.0,405,585,415,0.600057182338341,435,-1,-1,-1,-1,-1,-1,-1.0355,0.5008,-0.0537,1.4724,1.4502,345000
50.0,57.0,2,B.Tech/B.E.,CS/IT,65.06,395,425,425,0.744758354008939,385,-1,438,-1,-1,-1,-1,0.4155,-0.6504,0.3034,0.653,-0.4392,320000
89.2,86.25,2,B.Tech/B.E.,ECE,76.0,465,595,575,0.376059586651545,395,300,-1,-1,-1,313,-1,0.3555,0.9688,0.3817,-1.3478,0.1864,380000
93.8,76.0,1,B.Tech/B.E.,ECE,72.5,615,415,680,0.338786347219528,425,292,-1,-1,-1,393,-1,1.5644,1.5444,1.8543,-0.3612,0.0973,525000
76.66,64.33,2,B.Tech/B.E.,mechanical engineering,72.02,615,525,430,0.328746378624932,-1,-1,-1,346,-1,-1,-1,-0.5899,0.5454,0.3174,-0.7415,-0.8608,295000
90.4,84.6,2,B.Tech/B.E.,mechanical engineering,83.5,430,375,530,0.986525019020638,-1,-1,-1,580,-1,-1,-1,-1.8083,-1.9953,-2.521,1.0747,-2.0253,405000
90.8,82.6,2,B.Tech/B.E.,CS/IT,64.66,485,535,590,0.911395278391328,535,-1,500,-1,-1,-1,-1,0.99,1.2114,1.2396,-2.643,1.6302,480000
82.67,74.92,2,B.Tech/B.E.,CS/IT,61.36,580,470,425,0.911395278391328,535,-1,500,-1,-1,-1,-1,1.7081,1.0449,1.547,0.0192,0.6721,415000
94.16,95.5,2,B.Tech/B.E.,ECE,83.62,380,475,575,0.538386892985096,375,333,-1,-1,473,-1,-1,0.8463,1.2114,0.1637,-0.7415,1.0554,400000
74.6,81.6,2,B.Tech/B.E.,CS/IT,67.8,440,425,415,0.356536487724475,465,-1,346,-1,-1,-1,-1,-0.159,0.2124,-1.0659,-0.4879,0.2889,550000
61.73,60.0,2,B.Tech/B.E.,CS/IT,63.33,455,395,385,0.308400582860308,355,366,-1,-1,-1,-1,-1,-0.2628,-0.4353,1.2525,0.0623,-0.9194,390000
78.0,63.0,2,B.Tech/B.E.,CS/IT,68.1,454,535,464,0.765673581234011,485,-1,-1,-1,-1,-1,-1,-1.0355,0.8128,-1.2148,1.0024,1.6082,720000
74.0,64.0,2,B.Tech/B.E.,ECE,53.0,445,455,405,0.538386892985096,325,333,-1,366,-1,-1,340,1.1283,-0.4353,0.3817,0.1798,0.5024,535000
72.0,60.0,2,B.Tech/B.E.,CS/IT,64.0,345,375,315,0.342314899911815,365,-1,-1,-1,-1,-1,-1,-1.1128,-1.3713,-0.344,1.1492,-2.6572,420000
85.6,79.4,1,B.Tech/B.E.,EIE,67.23,525,525,565,0.538386892985096,-1,333,-1,-1,-1,-1,-1,-1.9629,-1.9953,-1.6502,0.6498,-1.2354,650000
89.4,68.0,2,B.Tech/B.E.,ECE,68.3,635,525,525,0.694479327708463,385,366,-1,-1,-1,313,-1,0.0464,0.3448,0.9623,-0.2902,0.5024,645000
87.7,95.2,2,B.Tech/B.E.,CS/IT,69.96,450,555,445,0.744758354008939,455,-1,438,-1,-1,-1,-1,-0.159,-0.4536,0.9322,-0.2344,-0.6692,400000
88.0,78.0,2,B.Tech/B.E.,ECE,87.9,545,605,575,0.824666400671332,535,400,-1,-1,-1,-1,-1,-3.0315,-2.1186,-1.0659,0.3995,-1.6273,620000
